id,conversation_id,customer_query,gold_intent,gold_escalation,gold_escalation_reason,reference_resolution,difficulty,annotator,annotation_date,verification_status
GOLD_012,66d8edd721e626acf58c39669330c796,Dis c'est normal que mon #iPhone5S chauffe énormément depuis l'installation de l'#iOS11 ? 🌡,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_013,fe9371ab7929c249ae6075f70095ed21,the new 11.0.2 made it so I can't open recently updated apps or download new ones 😶,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_014,5151480e2a6bb112ace1863a1f9dff1e,"Dear my #iPhone6s &amp; my worked so well together. After the update to #iOS11 ,they're not working well together at all. Fix it.",IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_015,b167036243ccdc313f75afa8b9546092,Anybody else on iOS 11 BT keeps skipping when you in the car🤔 FIX IT,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_016,c23fb8e0e0093a0e08cf2819c97146ba,ur new update 11.0.2 is draining battery like hell pls fix this asap,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_017,61c6904808ff284351f08039534d420b,my 7 plus iPhone for the third time after I did the last update hanged on me and I had to restart it so what is the problem ?,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_018,605559102ff2cf71fab6e2efb450701b,my iPhone 6s is slow as f*ck since I did the update to ios11 and after 1hour screen time it's empty #sucks,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_019,319e8206d45fdd668d1d4d30fbca763f,"Cool new feature in macOS High Sierra, it knows you've been working too hard and freezes the screen, but not the mouse.",IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_020,868ae66bc209b8ed9c518a8ce88e3d1d,yo iOS 11 not handling doing an awesome job of handing off btwn my vehicles dock connector and bluetooth. what do i do?,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_021,e3df86302fda43c5608dfc59646c863f,Is the new update not letting anyone connect to WiFi? Because everyone else can use my WiFi but since I've updated it won't connect.,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_022,8230ad9d32561ea0d8b0b6e2724c014a,Grrr! Why won't the contacts from my phone back up to iCloud?? #icloud,APPLE_ID_AND_ICLOUD,AUTO_HANDLE,Routine iCloud contact sync settings troubleshooting available on-device.,"Advise checking Settings > [User Name] > iCloud, toggling Contacts sync off and on, and verifying active Wi-Fi connection.",MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_023,270ab04f7c6a4c915a701f8ae9664089,the battery life on my phone is actually the worst. Get it together! I can't be connected to a charger all day.,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health for maximum capacity and reviewing high-drain background apps.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_024,cb0895da8b855984e72f3a1d3b1466c2,"This #iphone update is crap! My screen brightness won't stay where I have it set, auto adjusts on its own when I have it set not to",IOS_SOFTWARE_UPDATE,AUTO_HANDLE,Display auto-brightness accessibility setting behavior addressable on-device.,Direct customer to Settings > General > Accessibility > Display Accommodations > Auto-Brightness to toggle the setting.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_025,72297cf8993e28f6d0a10f2f6985ff4c,Ever since I updated my iPhone the Bluetooth won't stay connected. My phone stays being trash.,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_026,dad6f99320f1148de134bbdd5493f7bb,I am seeing an issue since Apple Watch iOS11 installation with heart beat data record on activities. Tested twice today. https://t.co/RkJK0d9OSN,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,Standard watchOS sensor calibration and Health app permissions troubleshooting available.,"Recommend unpairing and re-pairing Apple Watch via the Watch app on iPhone, verifying Privacy > Motion & Fitness permissions, and restarting both devices.",HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_027,d9c77961fe0f5f3281b5f89f2a50ade2,I'm going to freak out with this new update. What did you do to my phone!!!!,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_028,e8f3dd01ebeeadddedfd504b2b768f55,You ruined my phone because of the latest update😿🙏🏻,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_029,27be92d881d31d16c4f552ffcefe53b1,why is my phone brightness shifting from super dark to super bright all on its own without me being anywhere near the slider. Help,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_030,3446f8d981f789aaa148f31037a75220,The new iOS sucks. Emailing from the phone is now a pain. Charging the battery twice a day is not exciting. What else?,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_031,9e978401fa03e34539d54be495a86dff,I just updated the iOS on my iPad and know I can't find any of the signs on the keyboard,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_032,a3843f997fcd61391e707a47873c5a2e,"real issues with making phone calls since the update. They can't hear me I can't hear them. Battery replaced, still going on!",BATTERY_AND_HARDWARE,ESCALATE,Persistent battery failure despite replacement requires advanced hardware diagnostics.,Direct customer to Genius Bar battery diagnostic.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_033,70d10bf1d5a4d0ba2ec87755c52708ff,"My battery went from 35 to 25 in two second, WTF",BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_034,760cdbf1ee490db95a9e6918a268026d,why can't I access/send pics that are on the Cloud? https://t.co/lOUX31N12g,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,Standard product usage and UI how-to query can be immediately answered with public steps.,Provide step-by-step navigation instructions and relevant Apple Support Guide article.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_035,4c9a0737361e075e8c87f8734d7bad39,so my 7plus since the update blacks out often throughout the day. Constantly requires forced restarts.Apps stall.🤷🏽‍♂️😒,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_036,0609174c75e6a0e1bb7393787517ea0c,New ios 11.0.2 still does not resolve Mail app issues!! Cannot connect to Microsoft office exchange without searching for ages,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_037,a669859552d30cb3bcda717555569221,help https://t.co/ZpVmNgWPhg,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,General inquiry addressable with clarifying questions and standard support resources.,Offer assistance and request iOS version and model details.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_038,dc89e8a959622bb503d796e9f866c9d4,"Literally the worst update have done, not had any problems with my phone up n now the sounds faulty, phone crashes n restarts 24/7👍🏼😡",CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_039,36f1fd54ffbf45d359270687b3bfb409,"the loading icon is appearing almost 100% of the time in my status bar, even after reboot. Help!",IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_040,0f372570f2843bb879597bfbc6d7f286,"My WiFi seems to going funny since I've updated , any reported issues for it on iOS11.1? Have to keep turning off and on to get connection",CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_041,262a7c2acbc93dbcaa4393aa64d3ff90,Are you kidding me - the new iOS is just blacking out my phone randomly. Your new fix has fixed nothing!,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_042,479fd5a63024f23a4e14b41a83974c19,just noticed numbers near my cell and WiFi signal icons in my status bar?? https://t.co/lYazDUAqVI,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_043,4325e4492641b9f113162f2805838868,"Hi , is it possible to stop my Mac receiving the two-factor authentication code and only send it to my iPhone or iPad?",APPLE_ID_AND_ICLOUD,AUTO_HANDLE,Two-factor authentication trusted device management addressable via Apple ID security settings.,Explain that two-factor verification prompts are sent to all trusted Apple ID devices; manage trusted devices at appleid.apple.com or Settings > [Name] > Password & Security.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_044,5fab33209dc5e9c256a0f23c0cc405b5,I have an iPhone that refuses to connect to WiFi even though it's inches away from the router! 😡😡. 2 expensive 2 b this crap.,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_045,8477c7aaa298567ba175a46377f8f32e,"So I've installed 11.0.3 and waited... still missing photos on iPad Air, it just won't sync. What next? Full restore from b/up",BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_046,7962107b6afcb2fd5e180d98e4f788e3,"how the fuck do you ""not have Mac technicians available"" this is worse than when guitar center didn't have their ""guitar guy"" in",DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,General inquiry addressable with clarifying questions and standard support resources.,Offer assistance and request iOS version and model details.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_047,d4d395f8f3879cec9059f5caf2acb4b7,"Hi Apple! My early 2015 Macbook Pro Retina has glares on it. Since I have no Apple Care, will I be able to get a free repair?",BATTERY_AND_HARDWARE,ESCALATE,Out-of-warranty hardware physical coating defect / Staingate quality program requires in-person Genius Bar evaluation.,Advise customer to book a Genius Bar appointment or visit an Apple Authorized Service Provider to inspect eligibility under Apple's anti-reflective coating quality program.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_048,4e0b80c6c31febbb290fd799dd348e6a,I'm on 11.0.2. No matter how many time I reset the settings or restart the phone my autocorrect etc wont work. Any fixes?,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_049,37459f467894a1490da0fb5434ca1c96,so my phone is charged for an hour now and the battery keeps going down..wtf? get your shit together,BATTERY_AND_HARDWARE,ESCALATE,Device continuing to drain while plugged into power indicates charging port hardware defect or degraded battery cell.,Suggest testing alternative official Apple Lightning cable and adapter; route to Genius Bar hardware inspection if battery continues draining while connected to power.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_050,abbea043c506a9a19b7c1844f373153f,what have you done w ios 11? It has crippled my phone. Each new update seems to do more harm than good. Msg app useless,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_051,7eca82bef1a92ca904094a3b612a05c8,"Hey ever since updating the iPhone iOS my 6s keeps freezing on apps/needing to be restarted. Any fix or is the ""fix"" to buy a new one",IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_052,6aff6493794c59d267c6c8d5d86b5b0b,Seriously my train ride is only 30 min and my phone goes from 100% to 20..fix #ios11,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_053,baeb9f62e3b2d046e0d8ffbf018da968,#iOS11 0.2 on 📱7. #Fail Poor battery. Poor WiFi. No speakerphone. Apps Freeze. Can't pause 🎧 in Control Centre. Thanks 🍎 Not!,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_054,74eaec819fdd06150a82adc8734c90e8,"Please advise why, since updating the operating system, the iCloud icon is missing??? https://t.co/gVTQIDVgoj",APPLE_ID_AND_ICLOUD,ESCALATE,"Account recovery, credential resets, and 2FA authentication cannot be safely resolved over public social channels.",Direct to iforgot.apple.com for self-service credential recovery or invite to DM for account status review.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_055,a598f3a2f1e4b43f40608681fbfc29bb,Yo your iOS update is killing my battery life. Fix it,CUSTOMER_FEEDBACK_COMPLAINT,AUTO_HANDLE,General feedback expressing frustration with post-update battery life; standard post-indexing advice available.,"Empathize with battery performance concerns after updating, advise checking Settings > Battery for app usage, and explain post-update background indexing.",MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_056,fb02732efa52c14a6410b4864ee531f4,Dear why the fuck does my iPhone 6 battery go from 100% to 4% in less than an hour sitting on my desk. Any chance of a new one?!,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_057,2151845b4188b67b0cef081fe3565704,"is there a reason some of my emojis are rendering in my mac? For instance, the taco emoji is a placeholder square. Thanks! https://t.co/p0L9JqtNUO",DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,General inquiry addressable with clarifying questions and standard support resources.,Offer assistance and request iOS version and model details.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_058,e83fa3b8d7c865b7f6c4fdc6577265d1,seems your PowerBeats3 aren't much good. My pair has given up after a handful of uses! Seems it's a common fault as well.,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,General inquiry addressable with clarifying questions and standard support resources.,Offer assistance and request iOS version and model details.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_059,ce9dc7fc98c542ada02c9bf2670d06cd,how do you delete apps on the Apple TV?!?!? I'm holding down on the app till it wiggles then holding down play and nope,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,General inquiry addressable with clarifying questions and standard support resources.,Offer assistance and request iOS version and model details.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_060,91e1ef38d956c545996c6ce127e56c38,Idk if it's the new iOS update but my phone been lagging lately,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_061,66586e07e4255cb082bfa532046d4d1a,my phone won't change back to imessage and i've done everything possible to try fix this. help please?,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,General inquiry addressable with clarifying questions and standard support resources.,Offer assistance and request iOS version and model details.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_062,035f6c2ae021b326162a5bef066a4202,"It went down 2% in two minutes with low battery use on. What the fuck, ?",BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_063,07074a20ffe924afc1f031cb0b2b4cf2,- iOS 11 &amp; .1 terrible! Battery life drops quicker than pound did after Brexit referendum! &amp; it crashes more than bumper cars!,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_064,487c9b2d3fb9c7199f1a7dbebd80188b,Is there anyway of telling that you're not interested in setting up Apple Pay on my iPhone following the recent update?,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_065,d88c9d80d7ccb961f7ee415b7be1590d,Snapchat notification icon on Apple Watch is blanked out. Even after updating to OS 4.0.1....,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,Standard product usage and UI how-to query can be immediately answered with public steps.,Provide step-by-step navigation instructions and relevant Apple Support Guide article.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_066,fa144fa2d8e9613ea77dd5e859c1d918,Hey Why did you release #ios11 with so many bugs? I love #iphone and #iOS but this is the worst iOS update yet. We deserve better. https://t.co/w83ZuJX78m,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_067,6cb40b26e5a41ebe6c316ea9a0bf6d17,2tgread they HAVE replied!!but reply bounced ABOVE my last message to them! Come on apple sort this out! Worst update EVER!,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_068,aa187fa785f84b7b4a9fbc3fed2f75ea,#IOS11 - what the heck?? what happened to my apps? https://t.co/U19DGSfpiU,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_069,9dd8592ff9fa3881d49190d6f59fc210,"why has #HighSierra destroyed blank background PNG images in Photos? Some now inconsistently have square, white BGs",BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_070,35653b6c4c21f5976bb2a4e8cca1436b,So the new iOS updates have drained my iPod's battery considerably faster than before and People function is HORRIFICALLY inaccurate.,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_071,c27d8ef26e61ce79d9dd370690397fe4,iOS 11 has wrecked my iPhone 7. Phone is slow keeps freezing. Very poor show.,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_072,5ecb6fc9bbc932234e8cbb499725cea6,I've never been so disappointed in an iOS rollout. This update has basically made my iphone unusable. Even 11.0.1 didn't help!,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_073,196cd5b8300ff04a0ec76cd7239453b7,battery life is terrible since iOS11. Why does 5min of background in mail use 10%? https://t.co/BB7OJIh2B8,BATTERY_AND_HARDWARE,AUTO_HANDLE,Standard on-device battery health diagnostic and power-saving optimization steps available.,Recommend checking Settings > Battery > Battery Health and optimizing background app refresh.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
